Lab,Drug for Plate,Worm Species,Worm Strain from plate,Worm strain thaw date,Plate_Title,Age at Death,Dead,Censor,Plate Position,scanner name,Compound_Conc,Conc_units,Trial,LogDeath,Experiment type,Plate_Trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,17.4906,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,20.9906,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,22.1469,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,22.3344,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,23.2094,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,24.0531,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,25.0531,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,25.4281,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,26.7406,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,27.8031,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,27.8969,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,28.0219,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,28.2719,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,13.8512,1,0,B::3,ZEUS,0,μM,9/26/16,4.629807011,ALM,AF16_UNTREATED_0UM_1_09-26-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,14.57,1,0,B::3,ZEUS,0,μM,9/26/16,4.629807011,ALM,AF16_UNTREATED_0UM_1_09-26-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,14.6012,1,0,B::3,ZEUS,0,μM,9/26/16,4.629807011,ALM,AF16_UNTREATED_0UM_1_09-26-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,14.945,1,0,B::3,ZEUS,0,μM,9/26/16,4.629807011,ALM,AF16_UNTREATED_0UM_1_09-26-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,15.3512,1,0,B::3,ZEUS,0,μM,9/26/16,4.629807011,ALM,AF16_UNTREATED_0UM_1_09-26-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,15.5387,1,0,B::3,ZEUS,0,μM,9/26/16,4.629807011,ALM,AF16_UNTREATED_0UM_1_09-26-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
